index ,D66,PVDA,VVD,SP,Groenlinks,CDA
2010,1.516952516,0.7342109426,1.367497782,0.3438449811,1.630038831,0.4074549466
2014,1.516952516,0.7342109426,1.367497782,0.3438449811,1.630038831,0.4074549466
2018,1.516952516,0.7342109426,1.367497782,0.3438449811,1.630038831,0.4074549466
